№ п/п	answer
11	Для проведения расчета в УПРЗА необходимы следующие параметры ИЗАВ и ГВС: расход ГВС, расход ГВС на собственные нужды, расход ГВС на продувку, расход ГВС на утечки, расход ГВС на технологические нужды, расход ГВС на сброс, расход ГВС на очистку, расход ГВС на факельные установки, расход ГВС на сжигание, расход ГВС на рассеивание, расход ГВС на транспортировку, расход ГВС на хранение, расход ГВС на смешение, расход ГВС на испарение, расход ГВС на конденсацию, расход ГВС на растворение, расход ГВС на абсорбцию, расход ГВС на адсорбцию, расход ГВС на десорбцию, расход ГВС на хемосорбцию, расход ГВС на нейтрализацию, расход ГВС на окисление, расход ГВС на восстановление, расход ГВС на термическое обезвреживание, расход ГВС на биологическое обезвреживание, расход ГВС на захоронение, расход ГВС на термическую обработку, расход ГВС на механическую обработку, расход ГВС на химическую обработку, расход ГВС на физическую обработку, расход ГВС на обработку с использованием воды, расход ГВС на обработку с использованием химических веществ, расход ГВС на обработку с использованием микроорганизмов, расход ГВС на обработку с использованием физических факторов, расход ГВС на обработку с использованием биологических факторов, расход ГВС на обработку с использованием комбинированных методов, расход ГВС на обработку с использованием термических методов, расход ГВС на обработку с использованием механических методов, расход ГВС на обработку с использованием химических методов, расход ГВС на обработку с использованием биологических методов, расход ГВС на обработку с использованием физических методов.
12	Проведение инвентаризации стационарных источников и выбросов загрязняющих веществ в атмосферный воздух необходимо юридическим лицам и индивидуальным предпринимателям, осуществляющим хозяйственную и (или) иную деятельность на объектах, оказывающих негативное воздействие на окружающую среду, в соответствии с законодательством в области охраны окружающей среды.
13	Нумерация ИЗАВ при проведении корректировки инвентаризации на объекте сохраняется.
14	Передвижной ИЗАВ - транспортное средство, двигатель которого при его работе является источником выброса ЗВ. Учет передвижных ИЗАВ осуществляется в случае, если передвижной ИЗАВ эксплуатируется на территории населенного пункта и (или) на территории объекта ОНВ.
15	Нестационарность выбросов — это изменение во времени выбросов загрязняющих веществ в атмосферный воздух. В отчете об инвентаризации нестационарность выбросов не отражается.
16	При проведении инвентаризации для строящихся и реконструируемых объектов инвентаризация проводится в отношении объектов, которые будут введены в эксплуатацию после завершения строительства, реконструкции.
17	Количественные характеристики выбросов загрязняющих веществ определяются инструментальным и расчетным методами.
18	При проведении расчетов выбросов допускается использование методик, включенных в перечень, утвержденный Министерством природных ресурсов и экологии Российской Федерации.
19	Геометрические характеристики источников выбросов определяются на основе проектной документации или результатов инвентаризации выбросов.
20	Корректировка данных инвентаризации выбросов требуется в случае изменения технологических процессов и (или) режимов работы технологического оборудования и ГОУ, включая установку (оснащение) ГОУ на ИЗАВ, ввод в эксплуатацию или ликвидацию ИЗАВ.
21	Для объектов I и III категории нормативы допустимых выбросов устанавливаются на основе технологических показателей, а для объектов II категории на основе технологических показателей и нормативов удельных выбросов.
22	Проект нормативов допустимых выбросов включает в себя: обоснование необходимости проведения реконструкции, технического перевооружения объекта ОНВ, капитального ремонта, технического обслуживания, замены технологического оборудования, сырья, материалов, реагентов, фильтрующих элементов, катализаторов, сорбентов, изменения технологии производства продукции, состава сырья, материалов, реагентов, фильтрующих элементов, катализаторов, сорбентов; перечень мероприятий по снижению выбросов; обоснование выбора мероприятий по снижению выбросов; результаты расчетов выбросов загрязняющих веществ в атмосферный воздух; обоснование полноты и достоверности результатов расчетов выбросов загрязняющих веществ в атмосферный воздух.
23	Гигиенические нормативы — это государственные нормативы, которые устанавливаются в соответствии с законодательством и представляют собой критерии безопасности и безвредности для человека факторов среды обитания. Они бывают двух видов: предельно допустимые концентрации (ПДК) и ориентировочно безопасные уровни воздействия (ОБУВ). При разработке и установлении нормативов допустимых выбросов загрязняющих веществ в атмосферный воздух применяются гигиенические нормативы, установленные в соответствии с законодательством Российской Федерации.
24	Зона влияния загрязняющего вещества — это территория, на которую распространяется его воздействие.
25	Перспектива развития в рамках разработки и утверждения нормативов допустимых выбросов загрязняющих веществ в атмосферный воздух заключается в том, что нормативы выбросов устанавливаются на 7 лет при эксплуатации реконструированных и (или) введенных в эксплуатацию после строительства объектов капитального строительства.
26	В составе проекта НДВ (ПДВ) на случай возникновения неблагоприятных метеорологических условий приводится дополнительная информация о мероприятиях по регулированию выбросов.
27	Основным видом деятельности ООО «Эко Агро» является выращивание зерновых культур.
28	На 5 площадках.
29	В северном, северо-восточном и восточном направлении на расстоянии 52 расположена территория для выпаса сельскохозяйственных животных.
30	Ближайшая жилая зона расположена в северо-восточном направлении на расстоянии 191 м расположена нормируемая территория для ведения личного подсобного хозяйства (КН 61380080401149 Рост Ростовская область, р-н. Новочеркасский, г. Новочеркасск, пер. Кавказский, д. 2 разрешенное использование для ведения личного подсобного хозяйства).
31	Кадастровый номер не имеет разрешенного использования.
32	Ближайшая жилая зона находится на расстоянии 100 м от границы предприятия.
33	Кадастровый номер не имеет адреса.
34	Ближайшая жилая зона расположена в северо-восточном направлении на расстоянии 191 м.
35	Ориентировочная санитарно-защитная зона для объектов и производств агропромышленного комплекса составляет 100 метров.
36	В северном, северо-восточном и восточном направлении на расстоянии 52 расположена территория для выпаса сельскохозяйственных животных.
37	Котел Дон-60 работает на твердом топливе.
38	Газ привозится в баллонах.
39	На площадке ток асфальтированный располагается земельный участок сельскохозяйственного назначения.
40	Выброс загрязняющих веществ осуществляется от стационарных источников выбросов.
41	Код 2912.
42	Проезд автотранспорта по территории предприятия не учитывается.
43	Выброс загрязняющих веществ в атмосферный воздух происходит через источники выбросов.
44	Согласно методическому пособию «Выбросы загрязняющих веществ в атмосферу от предприятий металлургической промышленности» выбросы отсутствуют при обработки стали без СОЖ.
45	От работы сварочного поста выделяются пары растворителей, фтористый водород, азота диоксид, аэрозоль краски, пыль неорганическая, содержащая двуокись кремния в % до 20, пыль абразивная.
46	Административное здание предназначено для размещения органов управления, рабочих мест, мест отдыха и приема пищи, санитарно-бытовых помещений, помещений для оказания медицинской помощи.
47	Выброс загрязняющих веществ происходит от процесса нанесения лакокрасочных материалов.
48	31 источник загрязнения атмосферного воздуха.
49	Источники загрязнения предприятия наносятся на карту-схему предприятия.
50	Корректировка данных инвентаризации выбросов объекта ОНВ требуется в случае изменения технологических процессов и (или) режимов работы технологического оборудования и ГОУ, включая установку (оснащение) ГОУ на ИЗАВ, ввод в эксплуатацию или ликвидацию ИЗАВ.
51	Нормативы устанавливаются на срок не менее семи лет при условии ежегодного (не реже одного раза в пять лет) подтверждения неизменности технологических процессов основных производств и используемого сырья.
52	Проект ПДВ разрабатывается на основании данных инвентаризации выбросов вредных (загрязняющих) веществ в атмосферный воздух и их источников.
53	Основанием для разработки проекта нормативов допустимых выбросов является необходимость экологической оценки воздействия объекта на окружающую среду, определения нормативов выбросов загрязняющих веществ в атмосферу и разработки мероприятий по их снижению.
54	На 10 производственных площадках.
55	Адрес площадки №2 не указан.
56	Площадка №4 расположена по адресам: Ростовская область, р-н. Новочеркасский, г. Новочеркасск, ул. Вымышленная, д. 23; Ростовская обл, р-н Новочеркасский, г. Новочеркасск, ул Молодежная, 4-г.
57	Площадка №1 расположена на нескольких кадастровых участках: КН 61380600018433 Ростовская обл, р-н Новочеркасский, г. Новочеркасск, ул Рандомная, 8.
58	Ориентировочная санитарно-защитная зона для площадки №1 составляет 100 метров.
59	Площадка №2 расположена на кадастровом участке КН 61380080401132 Ростовская обл., р-н Новочеркасский, г. Новочеркасск, ул. Вымышленная, 20 разрешенное использование для ведения личного подсобного хозяйства.
60	Нормируемая территория для ведения личного подсобного хозяйства расположена на расстоянии 111, 71, 58, 108, 138, 253, 359, 416 и 10 метров.
61	В восточном и юго-восточном направлении.
62	Ближайшая жилая зона должна быть расположена на расстоянии не менее 300 м от границ территории объекта.
63	Ориентировочная СЗЗ устанавливается на основании пункта 7.1.12 СанПиН 2.2.1/2.1.1.1200-03.
64	Площадка №3 расположена на кадастровом участке КН 61380600018427 Ростовская область, р-н Новочеркасский, г. Новочеркасск, ул. Рандомная, д. 15 разрешенное использование для ведения личного подсобного хозяйства.
65	Ближайшая жилая зона расположена в юго-западном направлении на расстоянии 58 м расположена нормируемая территория для ведения личного подсобного хозяйства (КН 6138008040174 Ростовская обл., р-н Новочеркасский, г. Новочеркасск, ул. Молодежная, 10 разрешенное использование для ведения личного подсобного хозяйства).
66	Земельный участок с КН: 61:38:0080401:272 расположен по адресу: Ростовская область, г. Новочеркасск, ул. Молодежная, 10.
67	Здание автовесов.
68	Ориентировочная санитарно-защитная зона для площадки №5 устанавливается в соответствии с СанПиН .1200-03 Санитарно-защитные зоны и санитарная классификация предприятий, сооружений и иных объектов.
69	Ситуационный план территории объекта ОНВ представлен в приложении 1 к настоящему проекту.
70	На площадке №1 расположены: производственные помещения, складские помещения, административные помещения, бытовые помещения.
71	Площадь крытого тока должна быть не менее 1000 м².
72	Хранение чечевицы на зерноскладе осуществляется 30 дней в году.
73	Погрузка ячменя в автотранспорт осуществляется зернометом, работающем на электродвигателе.
74	От ИЗАВ №6004 выделяются загрязняющие вещества с кодами 0301, 0304, 0330, 0337, 0328, 0333, 0316, 0322, 0342, 0344, 0346, 0353, 0347, 0349, 0350, 0354, 0355, 0357, 0363, 0365, 0366, 0368, 0370, 0372, 0373, 0385, 0391, 0392, 0401, 0415, 0416, 0420, 0422, 0446, 0449, 0450, 0451, 0452, 0453, 0454, 0455, 0456, 0457, 0460, 0461, 0462, 0464, 0470, 0482, 0486, 0488, 0490, 0501, 0521, 0522, 0523, 0526, 0528, 0541, 0542, 0545, 0546, 0547, 0551, 0552, 0553, 0556, 0557, 0558, 0559, 0560, 0561, 0562, 0563, 0564, 0565, 0566, 0567, 0568, 0569, 0570, 0571, 0581, 0602, 0616, 0621, 0622, 0627, 0641, 0661, 0671, 0682, 0802, 0822, 0841, 0842, 0852, 0861, 0871, 0882, 0892, 0906, 0907, 0908, 0910, 0920, 0929, 0930, 0940, 0950, 0960, 0961, 0962, 0970, 0985, 0986, 0987, 0988, 0989, 1041, 1042, 1044, 1045, 1046, 1047, 1048, 1049, 1050, 1051, 1052, 1053, 1054, 1055, 1056, 1057, 1061, 1071, 1081, 1082, 1085, 1120, 1121, 1122, 1123, 1124, 1125, 1126, 1127, 1128, 1129, 1130, 1131, 1132, 1133, 1134, 1135, 1136, 1137, 1138, 1139, 1140, 1141, 1142, 1143, 1144, 1145, 1146, 1147, 1148, 1149, 1150, 1151, 1152, 1153, 1154, 1155, 1156, 1157, 1158, 1159, 1160, 1161, 1162, 1163, 1164, 1165, 1166, 1167, 1168, 1169, 1170, 1171, 1172, 1173, 1174, 1175, 1176, 1177, 1178, 1179, 1180, 1181, 1182, 1183, 1184, 1185, 1186, 1187, 1188, 1189, 1190, 1191, 1192, 1193, 1194, 1195, 1196, 1197, 1198, 1199, 1200, 1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211, 1212, 1213, 1214, 1215, 1216, 1217, 1218, 1219, 1220, 1221, 1222, 1223, 1224, 1225, 1226, 1227, 1228, 1229, 1230, 1231, 1232, 1233, 1234, 1235, 1236, 1237, 1238, 1239, 1240, 1241, 1242, 1243, 1244, 1245, 1246, 1247, 1248, 1249, 1250, 1251, 1252, 1253, 1254, 1255, 1256, 1257, 1258, 1259, 1260, 1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269, 1270, 1271, 1272, 1273, 1274, 1275, 1276, 1277, 1278, 1279, 1280, 1281, 1282, 1283, 1284, 1285, 1286, 1287, 1288, 1289, 1290, 1291, 1292, 1293, 1294, 1295, 1296, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1304, 1305, 1306, 1307, 1308, 1309, 131
75	Зерноочистительная машина оборудована циклоном типа ЦОЛ-18.
76	На предприятии используется спецтехника, такая как погрузчики, краны, манипуляторы и т. д.
77	10 легковых автомобилей.
78	В помещении мехмастерской осуществляются процессы механической обработки металлов.
79	Котлом типа ДЕ-10-14ГМ.
80	На предприятии имеется 10 источников загрязнения атмосферы.
81	Эффективность очистки циклона ЦН-15 составляет 85%.
82	Залповые выбросы на предприятии не учитываются.
83	Для 114 веществ приведены среднесуточные ПДК.
84	В соответствии с письмом Минприроды России от 10.2018 N 12-50/1719-ОГ.
85	Разработка мероприятий по снижению выбросов загрязняющих веществ для данного объекта негативного воздействия является нецелесообразной.
86	Наименование и номер передвижного источника выброса не указываются.
